asymmetrical, symmetrical
good-natured, ill-natured
irritate, soothe
accommodating, unaccommodating
anticlimactic, climactic
disobediently, obediently
twine, untwine
protected, unprotected
irrelevant, relevant
advisability, inadvisability
advantageous, disadvantageous
dishonor, honor
thrifty, wasteful
protective, unprotective
diligent, negligent
ill-being, well-being
receptive, unreceptive
important, unimportant
exon, intron
plowed, unplowed
forget, mind
imperviousness, perviousness
irreparable, reparable
attention, inattention
linger, rush
curability, incurability
profane, sacred
additive, subtractive
decreasing, increasing
impartial, partial
unwritten, written
insubstantiality, substantiality
insurability, uninsurability
daughter, son
mistrust, trust
separation, union
unwomanly, womanly
level, raise
involvement, non-involvement
elastic, inelastic
righteously, unrighteously
subsurface, surface
nonthermal, thermal
dry, wet
finish, start
oiled, unoiled
obtrusive, unobtrusive
impatient, patient
convergent, divergent
conclusive, inconclusive
landed, landless
touched, untouched
long, short
arbitrable, nonarbitrable
disloyal, loyal
heterogeneous, homogeneous
adequately, inadequately
friendly, hostile
deniable, undeniable
revived, unrevived
identifiable, unidentifiable
addressed, unaddressed
eukaryotic, prokaryotic
admit, deny
twist, untwist
immodestly, modestly
high-interest, low-interest
connectedness, disconnectedness
development, nondevelopment
demobilize, mobilize
hurried, unhurried
coated, uncoated
narrowing, widening
healthful, unhealthful
tempered, untempered
frail, robust
centralise, decentralise
correct, falsify
align, skew
heterosexual, homosexual
cheerfully, cheerlessly
bimodal, unimodal
originality, unoriginality
disorderly, orderly
stuck, unstuck
impenitently, penitently
displeased, pleased
illegitimately, legitimately
clergyman, layman
institutional, noninstitutional
thoughtfulness, thoughtlessness
distal, mesial
settled, unsettled
unwaxed, waxed
insubordinate, subordinate
hypercapnia, hypocapnia
collapsible, noncollapsible
downmarket, upmarket
active, stative
nobleman, noblewoman
desynchronize, synchronize
addition, subtraction
nonrepresentative, representative
kindly, unkindly
selfishly, unselfishly
descriptive, undescriptive
larboard, starboard
greenness, ripeness
hospitably, inhospitably
appreciatively, unappreciatively
bottom, top
gain, reduce
behave, misbehave
destalinize, stalinize
bridgeable, unbridgeable
agitation, calmness
arranged, disarranged
specialized, unspecialized
illogicalness, logicalness
acquisitive, unacquisitive
concentric, eccentric
lowered, raised
apolune, perilune
initiate, uninitiate
confined, unconfined
dull, sharp
east, west
playable, unplayable
sinkable, unsinkable
insecure, secure
irrelevance, relevance
peaceful, unpeaceful
directional, omnidirectional
informatively, uninformatively
arm, disarm
hereness, thereness
aborad, orad
eligibility, ineligibility
multilaterally, unilaterally
sarcastic, unsarcastic
shuttered, unshuttered
comfortable, uncomfortable
calculable, incalculable
income, outgo
filled, unfilled
tactfulness, tactlessness
impassable, passable
sealed, unsealed
saddle, unsaddle
summery, wintry
faced, faceless
indoors, outdoors
sitter, stander
distributary, tributary
cooked, raw
compress, decompress
general, particular
forbid, permit
certified, uncertified
disengage, engage
acidity, alkalinity
scramble, unscramble
difficulty, ease
femininity, masculinity
involuntary, voluntary
stained, unstained
complete, incomplete
sportingly, unsportingly
abduct, adduct
rh-negative, rh-positive
humorlessly, humorously
impossibility, possibility
hatless, hatted
lengthen, shorten
analyzed, unanalyzed
unyoke, yoke
gracefully, gracelessly
ametropic, emmetropic
detribalization, tribalization
classical, nonclassical
disliked, liked
productive, unproductive
arrange, disarrange
decrease, increase
applaud, boo
overhead, subsurface
ill-defined, well-defined
ectomorphic, endomorphic
declarative, interrogative
privileged, underprivileged
centrality, marginality
center, right
manned, unmanned
lipless, lipped
loose, tight
exchangeability, unexchangeability
determinate, indeterminate
colonize, decolonize
demonetization, monetization
buttoned, unbuttoned
furnished, unfurnished
equipped, unequipped
closing, opening
restrictive, unrestrictive
apogee, perigee
nonprehensile, prehensile
maximize, minimize
conjunctive, disjunctive
rentable, unrentable
exclusive, inclusive
deodourise, odourise
defuse, fuse
debilitating, invigorating
danger, safety
guilt, innocence
issue, recall
scholarly, unscholarly
illogical, logical
fashionable, unfashionable
hopefully, hopelessly
beneficence, maleficence
desensitize, sensitize
focused, unfocused
insensitively, sensitively
nonobservance, observance
ambitiously, unambitiously
bound, unbound
consummated, unconsummated
demand, supply
immovability, movability
geared, ungeared
appealing, unappealing
nephew, niece
joyfully, joylessly
cosmopolitan, endemic
loved, unloved
backward, forward
lose, profit
mushroom, toadstool
lowland, upland
consideration, inconsideration
clutter, unclutter
domestic, undomestic
strongly, weakly
benevolently, malevolently
repentantly, unrepentantly
lower-class, upper-class
compartmented, uncompartmented
immunocompetent, immunodeficient
feminine, masculine
curdle, homogenize
civility, incivility
narrow, wide
manfully, unmanfully
felicitously, infelicitously
bibbed, bibless
equal, unequal
certify, decertify
fertile, sterile
tender, tough
nonsyllabic, syllabic
evenly, unevenly
acrocarpous, pleurocarpous
accustomed, unaccustomed
impressionable, unimpressionable
abducent, adducent
divisible, indivisible
hospitableness, inhospitableness
desirable, undesirable
demythologize, mythologize
invariableness, variableness
sharpness, softness
dependableness, undependableness
comprehensively, noncomprehensively
download, upload
burden, unburden
nonpregnant, pregnant
fashionably, unfashionably
scented, scentless
smilingly, unsmilingly
dishonorably, honorably
preventable, unpreventable
sleep, wake
irreverently, reverently
