abaxial, dorsal
adaxial, ventral
abducent, abducting
adducent, adductive
adducent, adducting
emergent, emerging
cut, shortened
full-length, uncut
implicit, unquestioning
relative, comparative
absorbent, absorptive
absorbefacient, sorbefacient
assimilating, assimilative
assimilating, assimilatory
spongy, spongelike
nonabsorbent, nonabsorptive
repellent, resistant
adsorbent, adsorptive
adsorbent, surface-assimilative
chemisorptive, chemosorptive
nonadsorbent, nonadsorptive
adsorbable, adsorbate
abstinent, abstentious
ascetic, ascetical
ascetic, austere
ascetic, spartan
crapulent, crapulous
edacious, esurient
edacious, rapacious
edacious, ravening
edacious, ravenous
edacious, voracious
edacious, wolfish
hoggish, piggish
hoggish, piggy
hoggish, porcine
hoggish, swinish
overgreedy, too-greedy
conceptional, ideational
conceptional, notional
ideological, ideologic
real, tangible
abounding, galore
ample, copious
ample, plenteous
ample, plentiful
ample, rich
copious, voluminous
exuberant, lush
exuberant, luxuriant
exuberant, profuse
exuberant, riotous
overabundant, plethoric
overabundant, rife
abused, ill-treated
abused, maltreated
abused, mistreated
unexceptionable, unimpeachable
exceptionable, objectionable
approachable, reachable
come-at-able, get-at-able
come-at-able, getatable
inaccessible, unaccessible
outback, remote
pathless, roadless
pathless, trackless
pathless, untracked
pathless, untrod
pathless, untrodden
unapproachable, unreachable
unapproachable, unreached
un-come-at-able, un-get-at-able
un-come-at-able, ungetatable
accommodating, accommodative
complaisant, obliging
unaccommodating, unobliging
disobliging, uncooperative
close, faithful
high-fidelity, hi-fi
veracious, right
away, outside
faulty, incorrect
faulty, wrong
alkaline, alkalic
alkalescent, alcalescent
amphoteric, amphiprotic
acidophilic, acidophilous
acidophilic, aciduric
accepted, recognized
accepted, recognised
given, granted
unappreciated, unsung
unappreciated, unvalued
unavowed, secret
unrecognized, unrecognised
avaricious, covetous
avaricious, grabby
avaricious, grasping
avaricious, greedy
avaricious, prehensile
predaceous, predacious
predaceous, predatory
rapacious, ravening
rapacious, voracious
about, astir
acrobatic, athletic
acrobatic, gymnastic
agile, nimble
agile, quick
agile, spry
hyperactive, overactive
desk-bound, deskbound
abeyant, dormant
hypoactive, underactive
inert, sluggish
inert, soggy
inert, torpid
dull, slow
dull, sluggish
idle, unused
activist, activistic
passive, inactive
resistless, supine
resistless, unresisting
dormant, inactive
alive, live
active, dynamic
actual, existent
potential, possible
adaptive, adaptative
accommodative, reconciling
dysfunctional, nonadaptive
alcoholic, alcohol-dependent
dependent, dependant
dependent, drug-addicted
dependent, hooked
dependent, strung-out
addictive, habit-forming
accumulative, cumulative
addable, addible
extra, additional
complemental, complementary
complemental, completing
summational, summative
supplementary, supplemental
adequate, equal
inadequate, unequal
deficient, lacking
deficient, wanting
incapable, incompetent
short-handed, short-staffed
short-handed, undermanned
short-handed, understaffed
agglutinate, agglutinative
coherent, tenacious
gluey, glutinous
gluey, gummy
gluey, mucilaginous
gluey, pasty
gluey, sticky
gluey, viscid
gluey, viscous
gooey, icky
gummed, gummy
pitchy, resinous
pitchy, resiny
pitchy, tarry
nonglutinous, nonviscid
nonresinous, non-resinous
nonresinous, nonresiny
nonresinous, non-resiny
adjective, procedural
substantive, essential
adorned, decorated
beady, gemmed
beady, jeweled
beady, jewelled
beady, sequined
beady, spangled
beady, spangly
bespectacled, monocled
bespectacled, spectacled
brocaded, embossed
brocaded, raised
champleve, cloisonne
clinquant, tinseled
clinquant, tinselly
crested, plumed
crested, topknotted
crested, tufted
feathery, feathered
feathery, plumy
frilled, frilly
frilled, ruffled
paneled, wainscoted
tasseled, tasselled
unadorned, undecorated
plain, bare
plain, spare
plain, unembellished
plain, unornamented
clean, neat
clever, cunning
clever, ingenious
coordinated, co-ordinated
deft, dexterous
deft, dextrous
light-fingered, nimble-fingered
bumbling, bungling
bumbling, butterfingered
bumbling, ham-fisted
bumbling, ham-handed
bumbling, handless
bumbling, heavy-handed
bumbling, left-handed
inept, tactless
unmechanical, nonmechanical
beneficial, good
plus, positive
discriminatory, preferential
minus, negative
adventurous, adventuresome
audacious, daring
audacious, venturesome
audacious, venturous
swaggering, swashbuckling
better, best
inadvisable, unadvisable
well-advised, advised
ill-advised, unadvised
aerobic, aerophilic
aerobic, aerophilous
anaerobic, anaerobiotic
aesthetic, esthetic
aesthetic, aesthetical
aesthetic, esthetical
cosmetic, enhancive
inaesthetic, unaesthetic
inartistic, unartistic
smitten, stricken
smitten, struck
uninfluenced, unswayed
uninfluenced, untouched
affected, unnatural
agonistic, strained
artificial, contrived
artificial, hokey
artificial, stilted
constrained, forced
constrained, strained
lifelike, natural
affirmative, affirmatory
dissentient, dissenting
dissentient, dissident
afeard, afeared
aghast, appalled
aghast, dismayed
aghast, shocked
frightened, scared
horrified, horror-stricken
horrified, horror-struck
hydrophobic, aquaphobic
panicky, panicked
panicky, panic-stricken
panicky, panic-struck
panicky, terrified
panicky, frightened
terror-stricken, terror-struck
unafraid, fearless
unblinking, unflinching
unblinking, unintimidated
unblinking, unshrinking
battleful, bellicose
battleful, combative
competitive, militant
hard-hitting, high-pressure
predatory, rapacious
predatory, raptorial
predatory, ravening
predatory, vulturine
predatory, vulturous
pugnacious, rough
unaggressive, nonaggressive
aroused, emotional
aroused, excited
distraught, overwrought
jolted, shaken
feverish, hectic
frantic, frenetic
frantic, phrenetic
frantic, frenzied
churning, roiling
churning, roiled
churning, roily
churning, turbulent
churning, churned-up
rippled, ruffled
annoying, bothersome
annoying, galling
annoying, irritating
annoying, nettlesome
annoying, pesky
annoying, pestering
annoying, pestiferous
annoying, plaguy
annoying, plaguey
annoying, teasing
annoying, vexatious
annoying, vexing
harsh, abrasive
nerve-racking, nerve-wracking
nerve-racking, stressful
nerve-racking, trying
air-to-surface, air-to-ground
alert, watchful
argus-eyed, open-eyed
argus-eyed, vigilant
argus-eyed, wakeful
heads-up, wide-awake
lidless, sleepless
unalert, unwatchful
unalert, unvigilant
assignable, conveyable
assignable, negotiable
assignable, transferable
assignable, transferrable
inalienable, unalienable
absolute, infrangible
absolute, inviolable
nontransferable, unassignable
nontransferable, untransferable
alive, live
asleep, deceased
asleep, departed
asleep, gone
bloodless, exsanguine
bloodless, exsanguinous
breathless, inanimate
breathless, pulseless
deathlike, deathly
lifeless, exanimate
extinct, out
alphabetic, alphabetical
alphabetized, alphabetised
altruistic, selfless
egoistic, egoistical
egoistic, egocentric
egoistic, self-centered
egoistic, self-centred
self-absorbed, self-involved
double-barreled, double-barrelled
enigmatic, oracular
multivalent, multi-valued
polysemous, polysemantic
pushful, pushy
aspirant, aspiring
aspirant, wishful
compulsive, determined
compulsive, driven
manque, would-be
unambitious, ambitionless
full, good
wide, wide-cut
wide, full
meager, meagre
meager, meagerly
meager, stingy
meager, scrimpy
bare, scanty
bare, spare
measly, miserable
measly, paltry
constructive-metabolic, energy-storing
catabolic, katabolic
destructive-metabolic, energy-releasing
anastigmatic, stigmatic
katabatic, catabatic
analogue, analog
analogue, linear
analytic, analytical
synthetic, synthetical
analytic, uninflected
agglutinative, polysynthetic
analytic, analytical
synthetic, synthetical
aggravated, provoked
angered, enraged
angered, furious
angered, infuriated
angered, maddened
choleric, irascible
huffy, mad
huffy, sore
indignant, incensed
indignant, outraged
indignant, umbrageous
irate, ireful
smoldering, smouldering
wrathful, wroth
wrathful, wrothful
acrimonious, bitter
sentient, animate
insentient, insensate
inanimate, nonliving
inanimate, non-living
animated, alive
enlivened, spirited
reanimated, revived
anonymous, anon.
nameless, unidentified
nameless, unknown
nameless, unnamed
binomial, binominal
postmortem, postmortal
anterior, prior
anticipatory, prevenient
preexistent, pre-existent
preexistent, preexisting
preexistent, pre-existing
attendant, consequent
attendant, accompanying
attendant, concomitant
attendant, incidental
attendant, ensuant
attendant, resultant
attendant, sequent
later, ulterior
later, posterior
semiaquatic, subaquatic
subaqueous, subaquatic
subaqueous, submerged
subaqueous, submersed
subaqueous, underwater
amphibiotic, semiaquatic
above-mentioned, above-named
introductory, prefatorial
introductory, prefatory
preparatory, preparative
preparatory, propaedeutic
previous, old
back-to-back, consecutive
following, undermentioned
following, next
new, unexampled
prenatal, antenatal
prenatal, antepartum
postnatal, postpartum
back, hind
back, hinder
appetizing, appetising
mouth-watering, savory
mouth-watering, savoury
unappetizing, unappetising
offish, standoffish
proper, right
improper, wrong
collect, cod
collectible, collectable
collectible, payable
delinquent, overdue
apposite, apt
apposite, pertinent
amphiprostylar, amphiprostyle
amphiprostylar, amphistylar
amphiprostylar, porticoed
prostyle, pseudoprostyle
peristylar, pseudoperipteral
columniform, columnar
columniform, columnlike
noncolumned, uncolumned
arboreal, arboreous
arboreal, tree-living
arenaceous, sandy
arenaceous, sandlike
argillaceous, clayey
equipped, weaponed
militarized, militarised
defenseless, defenceless
armored, armoured
armor-clad, armour-clad
armor-clad, armor-plated
armor-clad, armour-plated
armor-clad, steel-plated
mail-clad, mailed
unarmored, unarmoured
barbed, barbellate
barbed, briary
barbed, briery
barbed, bristled
barbed, bristly
barbed, burred
barbed, burry
barbed, prickly
barbed, setose
barbed, setaceous
barbed, spiny
barbed, thorny
clawed, taloned
thornless, spineless
armored, armoured
scaly, scaley
scaly, scaled
unarmored, unarmoured
crafty, cunning
crafty, dodgy
crafty, foxy
crafty, guileful
crafty, knavish
crafty, slick
crafty, sly
crafty, tricksy
crafty, tricky
crafty, wily
cute, precious
designing, scheming
eloquent, facile
eloquent, fluent
eloquent, silver
eloquent, silver-tongued
eloquent, smooth-spoken
inarticulate, unarticulate
aphonic, voiceless
dumb, mute
dumb, silent
incoherent, tongue-tied
mute, tongueless
mute, unspoken
mute, wordless
speechless, dumb
nonspeaking, walk-on
articulated, articulate
discredited, disgraced
discredited, dishonored
discredited, shamed
embarrassed, humiliated
embarrassed, mortified
guilty, hangdog
guilty, shamefaced
guilty, shamed
shamefaced, sheepish
audacious, barefaced
audacious, bodacious
audacious, bald-faced
audacious, brassy
audacious, brazen
audacious, brazen-faced
audacious, insolent
shameless, unblushing
unabashed, unembarrassed
assertive, self-asserting
assertive, self-assertive
emphatic, forceful
reticent, self-effacing
reticent, retiring
associative, associatory
attached, committed
bespoken, betrothed
unattached, uncommitted
unengaged, unpledged
unengaged, unpromised
glued, pasted
unaffixed, loose
sessile, stalkless
pedunculate, stalked
free-swimming, unattached
freestanding, separate
bindable, bondable
captive, absorbed
captive, engrossed
captive, enwrapped
captive, intent
captive, wrapped
advertent, heedful
absent, absentminded
absent, abstracted
absent, scatty
distracted, distrait
dreamy, moony
dreamy, woolgathering
drowsy, oscitant
drowsy, yawning
forgetful, oblivious
bewitching, captivating
bewitching, enchanting
bewitching, enthralling
bewitching, entrancing
bewitching, fascinating
charismatic, magnetic
cunning, cute
engaging, piquant
fetching, taking
fetching, winning
glossy, showy
hypnotic, mesmeric
hypnotic, mesmerizing
hypnotic, spellbinding
homely, plain
unprepossessing, unpresentable
attention-getting, catchy
ascribable, due
ascribable, imputable
ascribable, referable
unattributable, unascribable
attributive, prenominal
big, enceinte
big, expectant
big, gravid
big, great
big, large
big, heavy
audible, hearable
inaudible, unhearable
breathed, voiceless
silent, unsounded
supersonic, ultrasonic
sonic, transonic
bright, hopeful
bright, promising
fortunate, rosy
inauspicious, unfortunate
golden, favorable
golden, favourable
golden, lucky
golden, prosperous
ill, inauspicious
ill, ominous
authorized, authorised
accredited, commissioned
accredited, licensed
accredited, licenced
approved, sanctioned
canonized, canonised
canonized, glorified
empowered, sceptered
empowered, sceptred
unauthorized, unauthorised
unaccredited, unlicensed
unaccredited, unlicenced
autoecious, homoecious
autogenous, autogenic
self-generated, self-produced
heterogenous, heterogeneous
autoloading, self-loading
autoloading, semiautomatic
automated, machine-controlled
automated, machine-driven
self-acting, self-activating
self-acting, self-moving
self-acting, self-regulating
hand-operated, non-automatic
gettable, getable
gettable, obtainable
gettable, procurable
inaccessible, unobtainable
inaccessible, unprocurable
inaccessible, untouchable
astir, up
insomniac, sleepless
insomniac, watchful
unsleeping, wide-awake
waking, wakeful
dormant, hibernating
dormant, torpid
drowsy, drowsing
drowsy, dozy
sleepy, sleepy-eyed
sleepy, sleepyheaded
slumberous, slumbery
slumberous, slumbrous
slumberous, somnolent
styptic, hemostatic
aware, cognizant
aware, cognisant
alert, alive
alert, awake
unaware, incognizant
oblivious, unmindful
appalling, dismaying
atrocious, frightful
atrocious, horrifying
atrocious, horrible
atrocious, ugly
awful, dire
awful, direful
awful, dread
awful, dreaded
awful, dreadful
awful, fearful
awful, fearsome
awful, frightening
awful, horrendous
awful, horrific
awful, terrible
baleful, forbidding
baleful, menacing
baleful, minacious
baleful, minatory
baleful, ominous
baleful, sinister
baleful, threatening
bloodcurdling, hair-raising
bloodcurdling, nightmarish
chilling, scarey
chilling, scary
chilling, shivery
chilling, shuddery
creepy, creepy-crawly
formidable, redoubtable
formidable, unnerving
ghastly, grim
ghastly, grisly
ghastly, gruesome
ghastly, macabre
ghastly, sick
terrific, terrifying
assuasive, soothing
comforting, consolatory
comforting, consoling
unreassuring, worrisome
backmost, hindermost
backmost, hindmost
backmost, rearmost
rear, rearward
advance, advanced
foremost, frontmost
frontal, head-on
directing, directional
directing, directive
directing, guiding
hardbacked, hardback
hardbacked, hardbound
hardbacked, hardcover
razorback, razor-backed
backswept, sweptback
cacuminal, retroflex
converse, reversed
converse, transposed
inverse, reverse
rearward, reverse
reflexive, self-referent
retral, retrograde
retroflex, retroflexed
returning, reversive
guardant, gardant
guardant, full-face
headfirst, headlong
bashful, blate
brash, cheeky
brash, nervy
bumptious, self-assertive
fresh, impertinent
fresh, impudent
fresh, overbold
fresh, smart
fresh, saucy
fresh, sassy
fresh, wise
assumptive, assuming
assumptive, presumptuous
barreled, barrelled
unbarreled, unbarrelled
duckbill, duck-billed
short-beaked, short-billed
stratified, bedded
foliate, foliated
foliate, foliaceous
laminar, laminal
layered, superimposed
ferned, ferny
fernlike, ferny
rushlike, sedgelike
bald, bald-headed
bald, bald-pated
beardless, smooth-faced
hairy, haired
hairy, hirsute
canescent, hoary
coarse-haired, coarse-furred
comate, comose
comate, comal
curly-haired, curly-coated
dark-haired, dark-coated
downy, pubescent
downy, puberulent
downy, sericeous
furred, furry
fuzzed, fuzzy
glossy-haired, glossy-coated
glossy-haired, glossy-furred
